ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,latitude,longitude
1,Calle D'Bienville,"813 Bienville St, New Orleans, LA 70112",Falling Apart,11,Inventory_Images/1.Photo 1.134027.jpg,Inventory_Images/1.Photo 2.134027.jpg,Inventory_Images/1.Photo 3.134028.jpg,,,29.9557409,-90.0686785
2,Calle D'Bienville,"301 Royal St, New Orleans, LA 70130",Good Condition,0,Inventory_Images/2.Photo 1.134052.jpg,Inventory_Images/2.Photo 2.134052.jpg,Inventory_Images/2.Photo 3.134052.jpg,,,29.9549583,-90.0675646
3,Calle D'Bienville,"300 Royal St, New Orleans, LA 70130",Faded/Cracked Polish,1,Inventory_Images/3.Photo 1.134112.jpg,Inventory_Images/3.Photo 2.134112.jpg,,,,29.9549493,-90.06739087
4,Calle D'Bienville,"300 Chartres St, New Orleans, LA 70130",Falling Apart,6,Inventory_Images/4.Photo 1.134125.jpg,Inventory_Images/4.Photo 2.134125.jpg,,,,29.95426955,-90.06649776
5,Calle D'Bienville,"222 N Rampart St, New Orleans, LA 70112",Falling Apart,18,Inventory_Images/5.Photo 1.205018.jpg,Inventory_Images/5.Photo 2.205018.jpg,,,,29.9568737,-90.071442
6,Calle D'Conti,"1007 Decatur St, New Orleans, LA 70116",Falling Apart,13,Inventory_Images/6.Photo 1.134403.jpg,Inventory_Images/6.Photo 2.134403.jpg,Inventory_Images/6.Photo 3.134403.jpg,Inventory_Images/6.Photo 4.134406.jpg,Inventory_Images/106.Photo 1.180735.jpg,29.9593359,-90.0606024
7,Calle Real,"403 Royal St, New Orleans, LA 70130",Falling Apart,18,Inventory_Images/7.Photo 1.135837.jpg,Inventory_Images/7.Photo 2.135837.jpg,,,,29.9559289,-90.0669925
8,Calle D'Conti,"403 Royal St, New Orleans, LA 70130",Faded/Cracked Polish,4,Inventory_Images/8.Photo 1.134434.jpg,Inventory_Images/8.Photo 2.134434.jpg,,,,29.9559289,-90.0669925
9,Camino Del Bayona,"901 Barracks St, New Orleans, LA 70116",Good Condition,0,Inventory_Images/9.Photo 1.140237.jpg,Inventory_Images/9.Photo 2.140237.jpg,,,,29.9641741,-90.0623384
10,Camino Del Bayona,"1323 Dauphine St, New Orleans, LA 70116",Good Condition,2,Inventory_Images/10.Photo 1.140254.jpg,Inventory_Images/10.Photo 2.140254.jpg,Inventory_Images/10.Photo 3.140254.jpg,,,29.96445995,-90.06201455
11,Calle Del Cuartel,"841 Barracks St, New Orleans, LA 70116",Faded/Cracked Polish,4,Inventory_Images/11.Photo 1.135400.jpg,Inventory_Images/11.Photo 2.135400.jpg,Inventory_Images/11.Photo 3.135400.jpg,,,29.9640623,-90.06208689
12,Calle D'Bourbon,"1303 Bourbon St, New Orleans, LA 70116",Faded/Cracked Polish,4,Inventory_Images/12.Photo 1.134156.jpg,Inventory_Images/12.Photo 2.134156.jpg,Inventory_Images/12.Photo 3.134156.jpg,,,29.9635366,-90.0613717
13,Calle Del Cuartel,"1301 Decatur St, New Orleans, LA 70116",Faded/Cracked Polish,18,Inventory_Images/13.Photo 1.135415.jpg,Inventory_Images/13.Photo 2.135415.jpg,,,,29.9616275,-90.0586335
14,Calle Real,"1330 Royal St, New Orleans, LA 70116",Good Condition,0,Inventory_Images/14.Photo 1.135851.jpg,Inventory_Images/14.Photo 2.135851.jpg,Inventory_Images/14.Photo 3.135851.jpg,,,29.96291949,-90.06022563
16,Calle Del Hospital,"640 Governor Nicholls St, New Orleans, LA 70116",Faded/Cracked Polish,4,Inventory_Images/16.Photo 1.135449.jpg,Inventory_Images/16.Photo 2.135448.jpg,Inventory_Images/16.Photo 3.135448.jpg,Inventory_Images/16.Photo 4.135451.jpg,,29.961844,-90.061065
17,Calle Real,"716 Governor Nicholls St, New Orleans, LA 70116",Good Condition,0,Inventory_Images/17.Photo 1.135910.jpg,Inventory_Images/17.Photo 2.135910.jpg,Inventory_Images/17.Photo 3.135910.jpg,,,29.96207569,-90.06144084
18,Calle Del Hospital,"1201 Dauphine St, New Orleans, LA 70116",Falling Apart,18,Inventory_Images/18.Photo 1.135504.jpg,Inventory_Images/18.Photo 2.135504.jpg,Inventory_Images/18.Photo 3.135504.jpg,,,29.963389,-90.062953
19,Camino Del Bayona,"1201 Dauphine St, New Orleans, LA 70116",Good Condition,0,Inventory_Images/19.Photo 1.140315.jpg,Inventory_Images/19.Photo 2.140315.jpg,Inventory_Images/19.Photo 3.140316.jpg,,,29.963389,-90.062953
20,Calle Del Hospital,"1001 Governor Nicholls St, New Orleans, LA 70116",Faded/Cracked Polish,1,Inventory_Images/20.Photo 1.135520.jpg,Inventory_Images/20.Photo 2.135520.jpg,,,,29.963993,-90.063909
21,Calle Del Arsenal y de las Ursulinas,"1104 Dauphine St, New Orleans, LA 70116",Faded/Cracked Polish,0,Inventory_Images/21.Photo 1.135230.jpg,Inventory_Images/21.Photo 2.135230.jpg,Inventory_Images/21.Photo 3.135229.jpg,,,29.9624739,-90.0635175
23,Calle Del Arsenal y de las Ursulinas,"1101 Bourbon St, New Orleans, LA 70116",Good Condition,4,Inventory_Images/23.Photo 1.135256.jpg,Inventory_Images/23.Photo 2.135256.jpg,Inventory_Images/23.Photo 3.135256.jpg,,,29.9619767,-90.0627582
25,Calle D'Bourbon,"1100 Bourbon St, New Orleans, LA 70116",Faded/Cracked Polish,12,Inventory_Images/25.Photo 1.134216.jpg,Inventory_Images/25.Photo 2.134216.jpg,Inventory_Images/25.Photo 3.134216.jpg,,,29.9618639,-90.0626507
26,Calle Del Arsenal y de las Ursulinas,"722 Ursulines Ave, New Orleans, LA 70116",Falling Apart,15,Inventory_Images/26.Photo 1.135315.jpg,Inventory_Images/26.Photo 2.135315.jpg,,,,29.96134841,-90.06215629
28,Calle Del Arsenal y de las Ursulinas,"1113 Chartres St, New Orleans, LA 70116",Falling Apart,16,Inventory_Images/28.Photo 1.135337.jpg,Inventory_Images/28.Photo 2.135336.jpg,Inventory_Images/28.Photo 3.135337.jpg,,,29.9610249,-90.0609952
30,Calle D'San Felipe,"1001 Decatur St, New Orleans, LA 70116",Faded/Cracked Polish,3,Inventory_Images/30.Photo 1.134725.jpg,Inventory_Images/30.Photo 2.134725.jpg,Inventory_Images/30.Photo 3.134725.jpg,,,29.9592583,-90.0606753
31,Calle D'Conti,"401 Dauphine St, New Orleans, LA 70112",Faded/Cracked Polish,1,Inventory_Images/31.Photo 1.134453.jpg,Inventory_Images/31.Photo 2.134453.jpg,Inventory_Images/31.Photo 3.134453.jpg,Inventory_Images/31.Photo 4.194702.jpg,,29.9570724,-90.0686796
32,Calle D'San Felipe,"936 Royal St, New Orleans, LA 70116",Falling Apart,7,Inventory_Images/32.Photo 1.134752.jpg,Inventory_Images/32.Photo 2.134752.jpg,Inventory_Images/32.Photo 3.134752.jpg,Inventory_Images/32.Photo 4.134755.jpg,,29.960277,-90.062607
33,Calle Real,"1000 Royal St, New Orleans, LA 70116",Good Condition,0,Inventory_Images/33.Photo 1.135934.jpg,Inventory_Images/33.Photo 2.135934.jpg,,,,29.9604109,-90.0623945
34,Calle D'San Felipe,"743 St Philip St, New Orleans, LA 70130",Graffiti,12,Inventory_Images/34.Photo 1.134803.jpg,Inventory_Images/34.Photo 2.134803.jpg,,,,29.9610732,-90.0633612
35,Calle D'Bourbon,"941 Bourbon St, New Orleans, LA 70116",Faded/Cracked Polish,14,Inventory_Images/35.Photo 1.134239.jpg,Inventory_Images/35.Photo 2.134239.jpg,Inventory_Images/35.Photo 3.134239.jpg,,,29.9610508,-90.0635754
36,Camino Del Bayona,"1001 Dauphine St, New Orleans, LA 70116",Good Condition,2,Inventory_Images/36.Photo 1.140349.jpg,Inventory_Images/36.Photo 2.140349.jpg,Inventory_Images/36.Photo 3.140349.jpg,,,29.9617789,-90.064375
37,Calle D'San Felipe,"1009 St Philip St, New Orleans, LA 70116",Falling Apart,18,Inventory_Images/37.Photo 1.134821.jpg,Inventory_Images/37.Photo 2.134821.jpg,Inventory_Images/37.Photo 3.134821.jpg,,,29.9625442,-90.0653849
38,Calle D'Santa Ana,"1009 St Ann St., New Orleans, LA 70116",Good Condition,0,Inventory_Images/38.Photo 1.135124.jpg,Inventory_Images/38.Photo 2.135123.jpg,,,,29.9609088,-90.066825
39,Calle D'Santa Ana,"1013 St Ann St., New Orleans, LA 70116",Faded/Cracked Polish,0,Inventory_Images/39.Photo 1.135137.jpg,Inventory_Images/39.Photo 2.135137.jpg,,,,29.9609569,-90.0668991
40,Camino Del Bayona,"839 St Ann St., New Orleans, LA 70116",Faded/Cracked Polish,0,Inventory_Images/40.Photo 1.140405.jpg,Inventory_Images/40.Photo 2.140405.jpg,Inventory_Images/40.Photo 3.140405.jpg,,,29.9600707,-90.0655988
41,Calle D'Bourbon,"801 Bourbon St, New Orleans, LA 70116",,8,Inventory_Images/41.Photo 1.134302.jpg,Inventory_Images/41.Photo 2.134302.jpg,,,,29.9595997,-90.0649137
