ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Grout Condition,Type of Wall,Building Occupant,Title Owner on Builder,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5
1,Calle D'Bienville,"813 Bienville Ave, New Orleans, LA 70112, USA",Falling Apart,11,,Masonry with Stucco,Arnaud’s Restaurant & Jazz Bistro,"KAJA, LLC",Inventory_Images/1.Photo 1.134027.jpg,Inventory_Images/1.Photo 2.134027.jpg,Inventory_Images/1.Photo 3.134028.jpg,,
2,Calle D'Bienville,"301 Royal St, New Orleans, LA 70130, USA",Good Condition,0,,Brick,Curio Restaurant & Bar,"Bunthorne, LLC",Inventory_Images/2.Photo 1.134052.jpg,Inventory_Images/2.Photo 2.134052.jpg,Inventory_Images/2.Photo 3.134052.jpg,,
3,Calle D'Bienville,"300 Royal St, New Orleans, LA 70130, USA",Faded/Cracked Polish,1,,Brick with Stucco,Royal Praline Company,Royal Praline Co.,Inventory_Images/3.Photo 1.134112.jpg,Inventory_Images/3.Photo 2.134112.jpg,,,
4,Calle D'Bienville,"300 Chartres St, New Orleans, LA 70130, USA",Falling Apart,6,,Masonry with Stucco,Chart Room/Alex Batton LLC,300 Chartres LLC,Inventory_Images/4.Photo 1.134125.jpg,Inventory_Images/4.Photo 2.134125.jpg,,,
5,Calle D'Bienville,"222 N Rampart St, New Orleans, LA 70112, USA",Falling Apart,18,Bad Condition,Brick,Former “Young Mens Gymnastic Club”,New Orleans athletic club,Inventory_Images/5.Photo 1.205018.jpg,Inventory_Images/5.Photo 2.205018.jpg,,,
6,Calle D'Conti,"1007 Decatur St, New Orleans, LA 70116, USA",Falling Apart,13,,Brick,It’s All About New Orleans - Gift Shop,Malik Asif,Inventory_Images/6.Photo 1.134403.jpg,Inventory_Images/6.Photo 2.134403.jpg,Inventory_Images/6.Photo 3.134403.jpg,Inventory_Images/6.Photo 4.134406.jpg,
7,Calle Real,"403 Royal St, New Orleans, LA 70130, USA",Falling Apart,18,Bad Condition,Masonry with Stucco,La Trobes’s,"Royal Cloud Nine, LLC",Inventory_Images/7.Photo 1.135837.jpg,Inventory_Images/7.Photo 2.135837.jpg,,,
8,Calle D'Conti,"403 Royal St, New Orleans, LA 70130, USA",Faded/Cracked Polish,4,,Masonry with Stucco,La Trobes’s,"Royal Cloud Nine, LLC",Inventory_Images/8.Photo 1.134434.jpg,Inventory_Images/8.Photo 2.134434.jpg,,,
9,Camino Del Bayona,"901 Barracks St, New Orleans, LA 70116, USA",Good Condition,0,Good Condition,Masonry with Stucco,,"Taylor Industries, Inc",Inventory_Images/9.Photo 1.140237.jpg,Inventory_Images/9.Photo 2.140237.jpg,,,
10,Camino Del Bayona,"1323 Dauphine St, New Orleans, LA 70116, USA",Good Condition,2,Good Condition,Brick,Muti Family Residential,,Inventory_Images/10.Photo 1.140254.jpg,Inventory_Images/10.Photo 2.140254.jpg,Inventory_Images/10.Photo 3.140254.jpg,,
11,Calle Del Cuartel,"841 Barracks St, New Orleans, LA 70116, USA",Faded/Cracked Polish,4,Good Condition,Brick,Muti Family Residential,Lee Family Trust,Inventory_Images/11.Photo 1.135400.jpg,Inventory_Images/11.Photo 2.135400.jpg,Inventory_Images/11.Photo 3.135400.jpg,,
12,Calle D'Bourbon,"1303 Bourbon St, New Orleans, LA 70116, USA",Faded/Cracked Polish,4,,Brick,Muti Family Residential,Frances Savaggio et. al.,Inventory_Images/12.Photo 1.134156.jpg,Inventory_Images/12.Photo 2.134156.jpg,Inventory_Images/12.Photo 3.134156.jpg,,
13,Calle Del Cuartel,"1301 Decatur St, New Orleans, LA 70116",Faded/Cracked Polish,18,Bad Condition,Brick,Sassy magick,Ray Ziegler Props LLC,Inventory_Images/13.Photo 1.135415.jpg,Inventory_Images/13.Photo 2.135415.jpg,,,
14,Calle Real,"1330 Royal St, New Orleans, LA 70116, USA",Good Condition,0,Good Condition,Masonry with Stucco,Residential,,Inventory_Images/14.Photo 1.135851.jpg,Inventory_Images/14.Photo 2.135851.jpg,Inventory_Images/14.Photo 3.135851.jpg,,
16,Calle Del Hospital,"640 Governor Nicholls St, New Orleans, LA 70116, USA",Faded/Cracked Polish,4,Good Condition,Brick,(Unknown) *corner of: Gov Nicholls St. & Royal St.,,Inventory_Images/16.Photo 1.135449.jpg,Inventory_Images/16.Photo 2.135448.jpg,Inventory_Images/16.Photo 3.135448.jpg,Inventory_Images/16.Photo 4.135451.jpg,
17,Calle Real,"716 Governor Nicholls St, New Orleans, LA 70116, USA",Good Condition,0,Good Condition,Brick,(Unknown) *corner of: Gov Nicholls St. & Royal St.,,Inventory_Images/17.Photo 1.135910.jpg,Inventory_Images/17.Photo 2.135910.jpg,Inventory_Images/17.Photo 3.135910.jpg,,
18,Calle Del Hospital,"1201 Dauphine St, New Orleans, LA 70116, USA",Falling Apart,18,Bad Condition,Brick,Muti Family Residential,,Inventory_Images/18.Photo 1.135504.jpg,Inventory_Images/18.Photo 2.135504.jpg,Inventory_Images/18.Photo 3.135504.jpg,,
19,Camino Del Bayona,"1201 Dauphine St, New Orleans, LA 70116, USA",Good Condition,0,Good Condition,Brick,Muti Family Residential,John Ceris et. al.,Inventory_Images/19.Photo 1.140315.jpg,Inventory_Images/19.Photo 2.140315.jpg,Inventory_Images/19.Photo 3.140316.jpg,,
20,Calle Del Hospital,"1001 Governor Nicholls St, New Orleans, LA 70116, USA",Faded/Cracked Polish,1,,Masonry with Stucco,Cosimos Bar,Cosimos,Inventory_Images/20.Photo 1.135520.jpg,Inventory_Images/20.Photo 2.135520.jpg,,,
21,Calle Del Arsenal y de las Ursulinas,"1104 Dauphine St, New Orleans, LA 70116, USA",Faded/Cracked Polish,0,Good Condition,Masonry,Muti Family Residential,Edward Selby et. al.,Inventory_Images/21.Photo 1.135230.jpg,Inventory_Images/21.Photo 2.135230.jpg,Inventory_Images/21.Photo 3.135229.jpg,,
23,Calle Del Arsenal y de las Ursulinas,"1101 Bourbon St, New Orleans, LA 70116, USA",Good Condition,4,Good Condition,Brick,Suds Dem Duds Laundry,Mitchell Family Partnership,Inventory_Images/23.Photo 1.135256.jpg,Inventory_Images/23.Photo 2.135256.jpg,Inventory_Images/23.Photo 3.135256.jpg,,
25,Calle D'Bourbon,"1100 Bourbon St, New Orleans, LA 70116, USA",Faded/Cracked Polish,12,,Masonry,Quarter Master Deli,1100 Bourbon LLC,Inventory_Images/25.Photo 1.134216.jpg,Inventory_Images/25.Photo 2.134216.jpg,Inventory_Images/25.Photo 3.134216.jpg,,
26,Calle Del Arsenal y de las Ursulinas,"722 Ursulines Ave, New Orleans, LA 70116, USA",Falling Apart,15,,Brick,Residential,"APRES TRAVAIL, LLC",Inventory_Images/26.Photo 1.135315.jpg,Inventory_Images/26.Photo 2.135315.jpg,,,
28,Calle Del Arsenal y de las Ursulinas,"1113 Chartres St, New Orleans, LA 70116, USA",Falling Apart,16,Bad Condition,Brick,Multi Use + Garden,Keyes Foundation,Inventory_Images/28.Photo 1.135337.jpg,Inventory_Images/28.Photo 2.135336.jpg,Inventory_Images/28.Photo 3.135337.jpg,,
30,Calle D'San Felipe,"1001 Decatur St, New Orleans, LA 70116, USA",Faded/Cracked Polish,3,Bad Condition,Brick,French Market Restaurant & Bar,1001 Decatur Street LLC,Inventory_Images/30.Photo 1.134725.jpg,Inventory_Images/30.Photo 2.134725.jpg,Inventory_Images/30.Photo 3.134725.jpg,,
31,Calle D'Conti,"401 Dauphine St, New Orleans, LA 70112",Faded/Cracked Polish,1,,Brick with Stucco,Audubon Room/May Bailey's Place,,Inventory_Images/31.Photo 1.134453.jpg,Inventory_Images/31.Photo 2.134453.jpg,Inventory_Images/31.Photo 3.134453.jpg,Inventory_Images/31.Photo 4.194702.jpg,
